"date	vehicle_category	maker	electric_vehicles_sold"
"5/1/2021	4-Wheelers	Hyundai Motor	3"
"5/1/2022	4-Wheelers	Hyundai Motor	19"
"5/1/2023	4-Wheelers	Hyundai Motor	129"
"6/1/2021	4-Wheelers	Hyundai Motor	10"
"6/1/2022	4-Wheelers	Hyundai Motor	39"
"6/1/2023	4-Wheelers	Hyundai Motor	121"
"7/1/2021	4-Wheelers	Hyundai Motor	18"
"7/1/2022	4-Wheelers	Hyundai Motor	45"
"7/1/2023	4-Wheelers	Hyundai Motor	88"
"8/1/2021	4-Wheelers	Hyundai Motor	10"
"8/1/2022	4-Wheelers	Hyundai Motor	53"
"8/1/2023	4-Wheelers	Hyundai Motor	141"
"9/1/2021	4-Wheelers	Hyundai Motor	6"
"9/1/2022	4-Wheelers	Hyundai Motor	57"
"9/1/2023	4-Wheelers	Hyundai Motor	161"
"10/1/2021	4-Wheelers	Hyundai Motor	8"
"10/1/2022	4-Wheelers	Hyundai Motor	64"
"10/1/2023	4-Wheelers	Hyundai Motor	148"
"11/1/2021	4-Wheelers	Hyundai Motor	7"
"11/1/2022	4-Wheelers	Hyundai Motor	59"
"11/1/2023	4-Wheelers	Hyundai Motor	125"
"12/1/2021	4-Wheelers	Hyundai Motor	10"
"12/1/2022	4-Wheelers	Hyundai Motor	68"
"12/1/2023	4-Wheelers	Hyundai Motor	97"
"1/1/2022	4-Wheelers	Hyundai Motor	6"
"1/1/2023	4-Wheelers	Hyundai Motor	84"
"1/1/2024	4-Wheelers	Hyundai Motor	128"
"2/1/2022	4-Wheelers	Hyundai Motor	6"
"2/1/2023	4-Wheelers	Hyundai Motor	36"
"2/1/2024	4-Wheelers	Hyundai Motor	94"
"3/1/2022	4-Wheelers	Hyundai Motor	14"
"3/1/2023	4-Wheelers	Hyundai Motor	35"
"3/1/2024	4-Wheelers	Hyundai Motor	116"
"4/1/2021	2-Wheelers	JITENDRA	36"
"4/1/2022	2-Wheelers	JITENDRA	940"
"5/1/2021	2-Wheelers	JITENDRA	13"
"5/1/2022	2-Wheelers	JITENDRA	646"
"6/1/2021	2-Wheelers	JITENDRA	43"
"6/1/2022	2-Wheelers	JITENDRA	568"
"7/1/2021	2-Wheelers	JITENDRA	212"
"7/1/2022	2-Wheelers	JITENDRA	880"
"8/1/2021	2-Wheelers	JITENDRA	208"
"8/1/2022	2-Wheelers	JITENDRA	653"
"9/1/2021	2-Wheelers	JITENDRA	134"
"9/1/2022	2-Wheelers	JITENDRA	661"
"10/1/2021	2-Wheelers	JITENDRA	283"
"10/1/2022	2-Wheelers	JITENDRA	1111"
"11/1/2021	2-Wheelers	JITENDRA	273"
"11/1/2022	2-Wheelers	JITENDRA	1256"
"12/1/2021	2-Wheelers	JITENDRA	503"
"12/1/2022	2-Wheelers	JITENDRA	668"
"1/1/2022	2-Wheelers	JITENDRA	535"
"1/1/2023	2-Wheelers	JITENDRA	522"
"2/1/2022	2-Wheelers	JITENDRA	583"
"2/1/2023	2-Wheelers	JITENDRA	308"
"3/1/2022	2-Wheelers	JITENDRA	1052"
"3/1/2023	2-Wheelers	JITENDRA	350"
"4/1/2021	4-Wheelers	KIA Motors	0"
"4/1/2022	4-Wheelers	KIA Motors	0"
"5/1/2021	4-Wheelers	KIA Motors	0"
"5/1/2022	4-Wheelers	KIA Motors	0"
"6/1/2021	4-Wheelers	KIA Motors	0"
"6/1/2022	4-Wheelers	KIA Motors	0"
"7/1/2021	4-Wheelers	KIA Motors	0"
"7/1/2022	4-Wheelers	KIA Motors	0"
"8/1/2021	4-Wheelers	KIA Motors	0"
"8/1/2022	4-Wheelers	KIA Motors	0"
"9/1/2021	4-Wheelers	KIA Motors	0"
"9/1/2022	4-Wheelers	KIA Motors	0"
"10/1/2021	4-Wheelers	KIA Motors	0"
"11/1/2021	4-Wheelers	KIA Motors	0"
"12/1/2021	4-Wheelers	KIA Motors	0"
"1/1/2022	4-Wheelers	KIA Motors	0"
"2/1/2022	4-Wheelers	KIA Motors	0"
"3/1/2022	4-Wheelers	KIA Motors	0"
"4/1/2023	4-Wheelers	KIA Motors	30"
"5/1/2023	4-Wheelers	KIA Motors	36"
"6/1/2023	4-Wheelers	KIA Motors	30"
"7/1/2023	4-Wheelers	KIA Motors	22"
"8/1/2023	4-Wheelers	KIA Motors	21"
"9/1/2023	4-Wheelers	KIA Motors	26"
"10/1/2022	4-Wheelers	KIA Motors	29"
"10/1/2023	4-Wheelers	KIA Motors	39"
"11/1/2022	4-Wheelers	KIA Motors	61"
"11/1/2023	4-Wheelers	KIA Motors	29"
"12/1/2022	4-Wheelers	KIA Motors	65"
"12/1/2023	4-Wheelers	KIA Motors	23"
